housing,loan,contact,duration,pdays,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,y
0,0,1,261,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,149,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,226,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,151,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,307,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,198,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,139,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,217,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,380,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,50,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,55,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,222,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,137,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,293,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,146,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,174,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,312,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,440,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,353,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,195,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,38,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,262,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,342,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,181,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,172,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,99,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,93,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,233,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,255,999,0,1,1.1,93.994,4.857,5191,0
1,1,1,362,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,348,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,386,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,73,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,230,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,208,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,336,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,365,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,1666,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,577,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,137,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,366,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,314,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,160,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,212,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,188,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,22,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,616,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,178,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,355,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,225,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,160,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,266,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,253,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,179,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,269,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,135,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,161,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,787,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,145,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,174,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,449,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,812,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,164,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,366,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,357,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,232,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,91,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,273,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,158,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,177,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,200,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,172,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,176,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,211,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,214,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,1575,999,0,1,1.1,93.994,4.857,5191,1
0,0,1,349,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,337,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,272,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,208,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,193,999,0,1,1.1,93.994,4.857,5191,0
1,1,1,212,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,165,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,1042,999,0,1,1.1,93.994,4.857,5191,1
0,2,1,20,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,246,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,529,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,192,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,1467,999,0,1,1.1,93.994,4.857,5191,1
2,0,1,188,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,180,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,48,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,213,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,545,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,583,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,221,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,426,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,287,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,197,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,257,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,229,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,55,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,400,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,197,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,190,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,21,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,300,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,123,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,293,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,325,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,514,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,849,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,194,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,212,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,337,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,286,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,247,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,518,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,364,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,178,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,98,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,439,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,139,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,79,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,175,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,262,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,61,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,78,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,102,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,579,999,0,1,1.1,93.994,4.857,5191,1
2,2,1,143,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,677,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,267,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,345,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,185,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,207,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,69,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,100,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,125,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,461,999,0,1,1.1,93.994,4.857,5191,1
2,0,1,240,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,70,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,193,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,136,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,73,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,528,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,541,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,338,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,163,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,87,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,301,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,46,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,52,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,204,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,155,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,98,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,71,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,243,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,186,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,579,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,165,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,163,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,46,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,559,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,2033,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,85,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,506,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,114,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,114,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,843,999,0,1,1.1,93.994,4.857,5191,0
0,2,1,181,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,427,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,292,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,192,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,93,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,128,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,107,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,303,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,81,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,270,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,228,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,240,999,0,1,1.1,93.994,4.857,5191,0
2,2,1,673,999,0,1,1.1,93.994,4.857,5191,1
2,0,1,233,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,102,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,461,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,250,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,130,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,252,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,138,999,0,1,1.1,93.994,4.857,5191,0
0,0,1,412,999,0,1,1.1,93.994,4.857,5191,0
2,0,1,179,999,0,1,1.1,93.994,4.857,5191,0
