housing,loan,contact,duration,pdays,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,y
0,0,1,261.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,149.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,226.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,151.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,2,1,307.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,198.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,139.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,217.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,380.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,50.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,55.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,222.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,2,1,137.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,293.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,146.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,2,1,174.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,312.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,2,1,440.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,2,1,353.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,195.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,38.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,262.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,342.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,181.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,172.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,2,1,99.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
2,0,1,93.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,233.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,255.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
1,1,1,362.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
0,0,1,348.0,999.0,0.0,1,1.1,93.994,4.857,5191,0
